,Retrieved from https://www.facebook.com/memesaufdeutsch/ at 2022-02-06 00:11:59
22,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15203373_1639784119647882_954892459465332942_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=4QEv1oF219cAX-oF9b6&_nc_ht=scontent-dus1-1.xx&oh=00_AT-QWKoZzI6N-uFaWn-11eEFfdynOfpg190DdMk9HSip1A&oe=62255E7E
23,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241345_1639755352984092_3250116630695202327_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mmkMt7FW1iwAX-osHuY&_nc_ht=scontent-dus1-1.xx&oh=00_AT_FrkPa7nVcA4nWk5qi8jC2lFAq7frPmOkQRAKBdjW_PA&oe=6224F249
24,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15219484_1639722039654090_2353018972320439816_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=1eTs1cpqWy0AX-m3YDJ&_nc_ht=scontent-dus1-1.xx&oh=00_AT_4Cax0HMrwn3H8X8FYEV9PN9rXN2OdlZX-Q9tjnnZ40A&oe=62235106
25,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15230645_1639465893013038_3516152772196875937_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=r-e1W9mVkrcAX-6cJER&_nc_ht=scontent-dus1-1.xx&oh=00_AT-nIvGv4xjogqCeOtPT2jslPABNr_dP6h11Dzekl2DYiA&oe=6223077F
26,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241749_1639426113017016_2432504439976367735_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=h9FYhfjsGtAAX-NYf05&_nc_ht=scontent-dus1-1.xx&oh=00_AT8lfExYTNEw8WiP67Gp5feUnvEQvnJlwlWpoX35UGlB4Q&oe=62256C48
27,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15319173_1639375543022073_3090192052266940681_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=8JZTin4X8NYAX8WThZV&_nc_ht=scontent-dus1-1.xx&oh=00_AT92gpacu0nU0wZ6iyX399UYEedCJGHXqsWBc4XQvGiGzg&oe=62267071
28,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241938_1639316619694632_7925170851310569624_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=V4YLNjMGxGQAX_YfwHe&_nc_ht=scontent-dus1-1.xx&oh=00_AT-8JnDDiS5CfJ6-gvHbsLNHlivJmOhP_ff7kWg4dhOEwQ&oe=62257995
29,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15232226_1639006289725665_5730179864729579762_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=_yntJcPasrUAX89xgjJ&_nc_ht=scontent-dus1-1.xx&oh=00_AT9fXgI9XhczpIImxUx1gPmbbEowrMa13d1hOFKv3msAmw&oe=62234A02
30,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15283972_1638909363068691_3717298648437362026_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=y_hutZfgGU4AX9Rh7Gb&_nc_ht=scontent-dus1-1.xx&oh=00_AT8P1SC7oZuBLOM13pva3yKCWj434IFZimBSPaIp7FP_TQ&oe=62252A0B
31,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15056467_1638857329740561_5553651749688487831_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=rw4fFyAE-XsAX8ug8sL&_nc_ht=scontent-dus1-1.xx&oh=00_AT9bgoNu24DSEfCJY2vUqTisWr4AnaUo9_-OsuXyz8JHNA&oe=6222FDB0
32,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15317787_1638818396411121_5379819850687848008_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=2MrSas3PwZcAX_UctPP&_nc_ht=scontent-dus1-1.xx&oh=00_AT8LOH1syLoSTkrMmOUlFTzkzj1EGzu9s4Pqt-jYS46D-w&oe=62253BD5
33,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241890_1638772796415681_4566687398116991254_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=gB9FkJE6SN4AX8yUO9L&_nc_ht=scontent-dus1-1.xx&oh=00_AT_36YeX4CFE0S8qPJM8rHvpmLT4YZHk2LF0S9neyFXgJA&oe=622300E6
34,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15202551_1638508106442150_2671463818145573802_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=2ZOyJP4rUw8AX9nhBEL&_nc_ht=scontent-dus1-1.xx&oh=00_AT9OqkrdQC3rupT8GuxVSW2PvW0qY4JkZSGP236VnWGvAg&oe=6224AFB9
35,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15232138_1638457476447213_3633212460179433198_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=SNLdRMv1Ze8AX80xbSI&_nc_ht=scontent-dus1-1.xx&oh=00_AT9HX2oLq3dh2P9W1vkxBDE3OMNVRaXs5IhNJ8hOleyYRQ&oe=6225503C
36,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15193434_1638425626450398_4016900328745715145_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=iZWniXa1g14AX8h2ZMe&_nc_ht=scontent-dus1-1.xx&oh=00_AT-ihhansu51e-coUr4ltF5TSSkuy8eOowxiH0yQiqzsWw&oe=622386B2
37,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15284169_1638391046453856_7207100254217879590_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=iDmsR_8e1x0AX_uMFtR&_nc_ht=scontent-dus1-1.xx&oh=00_AT8-6ZQCgjKIqIrL8W_0j4UPtsVB4XOrJw7UaXKRlbOysQ&oe=622667AC
38,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15267689_1638351566457804_113456845087301543_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=uQ5oDxBar0kAX_yBJkp&_nc_ht=scontent-dus1-1.xx&oh=00_AT_aZ5_MNmP_JYH12ef5Zzp0SiJbC22Sml0BVPAcxzm9OA&oe=62240F2B
39,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15230749_1638079756484985_7392970036244452480_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Da3UF_q8aoEAX8MLHmF&_nc_ht=scontent-dus1-1.xx&oh=00_AT9gew895S6SP5pv_pPJ8chNYI-xh3WHEZRqqrjCo-7Vfw&oe=62238322
40,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15253520_1638042236488737_1170559101987881469_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=JmNoJo3PTGIAX8eIf62&_nc_ht=scontent-dus1-1.xx&oh=00_AT-k6we71deoSVj7qOq86FLp2eBXg0Ejijmcgl2XLDriOA&oe=6224ED41
41,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15202638_1637998076493153_4167181423979754573_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=s9otXtYrxsUAX-qz4H6&_nc_ht=scontent-dus1-1.xx&oh=00_AT9xz2fVSLuz919epHt1DRshaVroxKqehiGbGPP24T7rgQ&oe=62233A5F
42,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15178993_1637957379830556_1809229723622404528_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=tKDgskvUoTcAX9y8LLk&_nc_ht=scontent-dus1-1.xx&oh=00_AT_DTAkS0W3AQ9xNvXbtRnpdVwPJOXDxfY3U-H2bdKYeQQ&oe=62247021
43,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241219_1637919226501038_7126496182130253465_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=R-7l1xxOhK0AX95wxiv&_nc_ht=scontent-dus1-1.xx&oh=00_AT9x_AzKCtj0zGwpvmd1Zu1N0e39UEDJMAkn8VuZoQyGPg&oe=6222B9DF
44,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15230670_1637681039858190_3926152475679790309_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=ltorFJ9cioUAX8CI_Sf&_nc_ht=scontent-dus1-1.xx&oh=00_AT85WFBfqyKof189A-PSwc5c0a9A6yKJt-EXqPHKwMZnHA&oe=62250135
45,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241854_1637629573196670_1476493508713238029_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=DoPHU-0uIi8AX_5vnO_&_nc_ht=scontent-dus1-1.xx&oh=00_AT_KHNOuJb7wU1EgJ1AW9xU-Fn7e0Ii5j--klfTadgxhUg&oe=6225E387
46,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241409_1637597349866559_4538421075826575027_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=O7dIUFwIBxoAX-qdvCv&_nc_ht=scontent-dus1-1.xx&oh=00_AT_O1PK1MA8EC_RtSQ1MPtMLIQ59Z9qULgC-l1DACsXnHQ&oe=62261F7D
47,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15193417_1637556369870657_4720612576093646822_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=FAIL9vp0lXUAX80exPH&_nc_ht=scontent-dus1-1.xx&oh=00_AT9hTOSb21TD4ocpiheTjqOxF1CETzIpzk2Ab1r6kC9AJw&oe=62230783
48,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15135747_1637514143208213_8096600908336766868_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=3XMy4PegzREAX8T6q7w&_nc_ht=scontent-dus1-1.xx&oh=00_AT_n9wkknb1Oo8x_y6-1n0-2DosJgyxhmAreoJzyBbxgdw&oe=6225BADA
49,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15136000_1637278833231744_941904702845635268_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=8WW0Azv7JUkAX9Gk_2V&_nc_ht=scontent-dus1-1.xx&oh=00_AT_uNOsifWI3-fhb2h5rhRgMX2IafNSogdz4SbohKBPMWA&oe=6223D4B7
50,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15232217_1637244189901875_565329417119138375_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=gSf90WUh5nkAX-gcYWY&_nc_ht=scontent-dus1-1.xx&oh=00_AT-Y7yFvGwvkRJXTxpP9XIRiSAaDhNskavvfQF0U0F4lOw&oe=62247E08
51,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15219654_1637200709906223_1697819604836291826_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=AMWmsUeY5lkAX9TA1to&_nc_ht=scontent-dus1-1.xx&oh=00_AT9AwqJLfwNVEF8Rc4LT9EA2UA8ce8uHvRCt4QLy_vI_9g&oe=62234D0B
52,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15203323_1637162533243374_7117568185776597375_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=m-DV4bgVwpYAX_qOpG9&_nc_ht=scontent-dus1-1.xx&oh=00_AT_Mx2mpwepxTCXGTDslvsqOL-Tr-8wI3--Ltf6NqIcUhw&oe=62244BBB
53,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15253436_1637114799914814_339129298855678629_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=4iSsY4ymXzcAX9uBzCe&_nc_ht=scontent-dus1-1.xx&oh=00_AT9cPGBQobAVFtZVvMYOhXh-t4EZWIqDFbfT8NwoN_xJCg&oe=62268481
54,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15171253_1636805246612436_2271351147452685281_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=TDYwZvVNeXkAX8Gth09&_nc_ht=scontent-dus1-1.xx&oh=00_AT9ocTp3pwgL9q5wzmWCicTAF3Fwk9YcxQQiO2XnfHVKwg&oe=62238B9D
55,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241764_1636765616616399_3111123439593562597_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=tthvRkP6Ao0AX8-rGet&_nc_ht=scontent-dus1-1.xx&oh=00_AT8b4p7-VxOSs4iwh_vbntF3kXJyDw7hSGaXpm2RSmr9Vg&oe=6223C1BB
56,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15135979_1636730886619872_2757985360316492829_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=OY06rfHUfd0AX8NnMRK&_nc_ht=scontent-dus1-1.xx&oh=00_AT_jo4rxeFfQ-QlHBnfs7iWls8MpDpU_QZhuJ-2I6UMsnQ&oe=62264641
57,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15253473_1636688589957435_6933593434734236792_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=VhbWe8IwqdwAX8SyJKi&_nc_ht=scontent-dus1-1.xx&oh=00_AT96ZX-luQaF6fdvXbgB4H0m4P5Yn8rDbEGdxZ1SpUi7rQ&oe=62263085
58,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15241381_1636639829962311_1124590264644925719_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=SiO3prvbH3sAX-GuXpP&_nc_ht=scontent-dus1-1.xx&oh=00_AT-xhasBMYdsSdl6kH1wp3MT8ljfkCLQQxb87iudnhW0hQ&oe=62262FC8
59,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15219441_1636375976655363_4314441576253570413_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=J71Cr5yaxSUAX_3Jggv&_nc_ht=scontent-dus1-1.xx&oh=00_AT95erB7S4mUqOZ4EcmDgORK_aOawF1ib5uvWYLJE6HKQA&oe=6222CE57
60,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15170790_1636344113325216_2206440372308866748_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=zO6_jD6KF0MAX_d5m0i&_nc_ht=scontent-dus1-1.xx&oh=00_AT8nltgmkinYw-bj35EsdHCgkgY2G2POeZFUuCqpE8AtWw&oe=6223D84F
61,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15179137_1636301993329428_6269565533760676072_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Cr9Z2-J6znkAX9Z3IL7&_nc_ht=scontent-dus1-1.xx&oh=00_AT-1wH8N3aOoSvghmR8E1B4MRLkAnEEN8GD3FLLwpQY4og&oe=6223A2D2
62,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15181448_1636267406666220_7277359888985635554_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mqyLjhjGs_UAX9X966_&_nc_ht=scontent-dus1-1.xx&oh=00_AT_jth02EP0nKVH16skLjx_Gjy9-xvkrCAxvMEdDVDMJRQ&oe=622605FD
63,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15107405_1636223170003977_8336982860569727675_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=C5doE_F5oT8AX8xhkhb&_nc_ht=scontent-dus1-1.xx&oh=00_AT8UBmy4lJxUjGky0nAL-_E7yCjKD5-o57PyirHI3yxaLA&oe=6224DC0A
64,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15181121_1635828406710120_1907322153786939568_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=v2J9XRUoFlgAX_G9Reo&_nc_oc=AQlWEODx7Wi0IrpXLfLzDJCRU9w3ZNycyEELP7ybccbv--RFrsyoQwEd9hxXx7qHX4PRjaYFaASf2TcYUS7Nkgmc&_nc_ht=scontent-dus1-1.xx&oh=00_AT--cCEgW0-0V1sQfNn6SxhVfKKcIU2NZJbRSTRrB7CDZQ&oe=6224689B
65,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15109515_1635795073380120_8441122766770688964_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=QlSxh09llH8AX8bkHgQ&_nc_ht=scontent-dus1-1.xx&oh=00_AT_NhE0y1E04yc7avPLYOrO2LLjfTZ-TMNR0xofNOufiUg&oe=622689A4
66,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15107274_1635759183383709_5590529273057853242_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Nvei0nkhEboAX9sX0Hq&_nc_ht=scontent-dus1-1.xx&oh=00_AT-ATGRLwuR8-5aeG39EOxpDzmh70Kje_isqX6PlDTZVig&oe=6225C0B0
67,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15136013_1635722510054043_5000823070782159512_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=DUXKLP_l8ywAX-_E0qv&_nc_ht=scontent-dus1-1.xx&oh=00_AT8nuiNlycmKXimJatWCtMQNFte6TEEfoCeLo0VjkcmCQQ&oe=62244954
68,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/13532836_1635674873392140_5453386362047034411_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=-qyK7jj_eCkAX8HNjJL&_nc_ht=scontent-dus1-1.xx&oh=00_AT__SplhYDCNGs_XK5vKO72wfLsrJ_PjsKmBKOKyspwYqw&oe=62258ABE
69,https://scontent-dus1-1.xx.fbcdn.net/v/t1.18169-9/15135998_1635454780080816_8680304058249699293_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=NcoDVoruomkAX8OH4xE&_nc_ht=scontent-dus1-1.xx&oh=00_AT9u_nHQrIecsLumvXKT26DeW6IUlpyopuJt6JlQwSPVag&oe=622678EF
